P_NAME,P_HABITABLE,P_ESI,P_MASS_y,P_RADIUS_y,P_TEMP_EQUIL_y,P_PERIOD_y,P_TEXTURE
GJ 1151 c,0,-0.346846003,10.62,3.25,80.840612,389.7,Neptunian
GJ 9066 c,0,-1.270817653,66.74397,9.6,60.118391,771.36,Gas Giant
HD 73256 c,0,-1.029266345,5085.2545,12.2,120.92282,2690,Gas Giant
Kepler-36 c,0,-0.510254905,7.13,3.679,953.86383,16.21865,Unknown
Kepler-68 d,0,0.973189528,267,13.9,239.91402,632.62,Gas Giant
Kepler-9 b,0,-1.024324665,43.4,8.29,658.91732,19.23891,Neptunian
Kepler-403 b,0,0.258594824,2.1,1.25,1338.7297,7.031462,Terrestrial
Kepler-92 d,0,0.184738054,11.86668,2.067,655.81633,49.3568,Neptunian
Kepler-898 b,0,0.407397799,2.83,1.49,659.40382,5.8706191,Terrestrial
HD 93351 b,0,0.117295246,3.49611,1.69,1192.9524,2.45946,Super-Earth
HD 111232 b,0,-0.41136879,2531.5033,12.6,157.9698,1169.132,Gas Giant
WD 0806-661 b,0,-4.31E-16,2542.6273,12.6,0,0,Gas Giant
HD 16175 b,0,1.064400046,1875.1876,12.8,228.57889,990,Gas Giant
Kepler-104 c,0,-0.227353914,7.14431,3.13,685.49453,23.668205,Unknown
Kepler-444 e,0,0.179491431,0.1,0.546,755.56691,7.743493,Terrestrial
Kepler-113 c,0,0.14173063,8.7,2.18,655.09743,8.92507,Super-Earth
Kepler-106 c,0,-0.105636508,10.44,2.5,806.38531,13.5708,Neptunian
HATS-69 b,0,-1.342963795,183.38791,10.593,1162.4404,2.2252577,Gas Giant
GJ 317 b,0,-1.347380875,794.5,13.3,89.883272,695.66,Gas Giant
GJ 317 c,0,-1.474677187,522.5,13.5,42.102542,6739.323,Gas Giant
GJ 581 c,0,2.631014883,5.5,2.21,320.53989,12.914,Super-Earth
GJ 86 b,0,-1.222232302,1404.8086,12.9,613.56407,15.76491,Gas Giant
HD 117618 b,0,-1.069480821,55.30242,8.59,677.79607,25.8,Gas Giant
HD 12484 b,0,-0.850544075,947.1334,13.2,473.24748,58.83,Gas Giant
GJ 876 d,0,0.123199522,6.83,2.51,587.5819,1.93778,Unknown
GJ 96 b,0,2.190399316,19.66,4.67,254.44961,73.94,Neptunian
TOI-2445 b,0,0.298288428,2.1,1.25,959.42211,0.3711281,Terrestrial
HATS-14 b,0,-1.391014969,340.39593,11.646,1179.1041,2.7667641,Gas Giant
HATS-16 b,0,-1.507391442,1039.3041,14.572,1454.393,2.686502,Gas Giant
K2-417 b,0,0.106047102,699.2225,3.31,508.07688,6.535,Gas Giant
TOI-4479 b,0,-0.207603038,8.35,2.82,790.09222,1.1589,Unknown
Kepler-75 b,0,-1.339647427,3209.9,11.77,769.58628,8.8849116,Gas Giant
Kepler-338 c,0,-0.069906222,6.08,2.34,860.61924,24.310856,Super-Earth
Kepler-1130 b,0,0.31441697,0.437,0.8,898.39153,5.4529818,Terrestrial
Kepler-129 c,0,0.274988384,43,2.52,531.45919,82.2,Neptunian
Kepler-25 c,0,-0.823546198,15.2,5.217,971.93723,12.7207,Neptunian
Kepler-220 b,0,0.356447973,0.457,0.81,804.86083,4.159807,Terrestrial
Kepler-403 d,0,0.232276814,2.6,1.42,1057.7718,13.611591,Terrestrial
Kepler-94 b,0,-0.477394928,10.84,3.51,1015.6615,2.50806,Neptunian
Kepler-19 d,0,0.229205643,22.5,5.06,416.23678,62.95,Neptunian
Kepler-94 c,0,-0.681029259,3126,12.5,141.86202,820.3,Gas Giant
Kepler-102 c,0,0.250660344,1.7,0.567,702.67919,7.071392,Terrestrial
KOI-351 e,0,0.592114601,7.56,2.66,458.9074,91.93913,Unknown
TOI-1260 b,0,-0.068268574,8.56,2.41,797.1071,3.127463,Super-Earth
Kepler-48 c,0,-0.135143518,14.61,2.71,734.28038,9.67395,Neptunian
Kepler-314 b,0,0.276950159,0.498,0.83,1195.5443,2.461069,Terrestrial
HD 134606 b,0,-0.269652188,9.09,2.97,817.24751,12.089,Unknown
Kepler-131 b,0,-0.018001878,16.13,2.41,721.59216,16.092,Neptunian
Kepler-37 e,0,0.853696352,8.1,0.37,423.28191,51.196,Terrestrial
Qatar-6 b,0,-1.371562759,212.31044,11.904,921.36036,3.506195,Gas Giant
Kepler-338 d,0,-0.205315116,9.27,3,704.05845,44.431014,Unknown
HD 165131 b,0,-0.516083839,5943.3912,12.1,137.4917,2342.6,Gas Giant
HD 185283 b,0,-1.378132797,413.17693,13.6,85.968157,4060,Gas Giant
TOI-1685 b,0,0.143217825,3.09,1.7,988.38729,0.6691406,Super-Earth
Kepler-50 b,0,0.111036318,8.9,1.71,1249.8398,7.81254,Super-Earth
Kepler-93 c,0,-0.553410684,954,13.11668,153.4218,1460,Gas Giant
Kepler-103 b,0,-0.446365149,9.8,3.486,893.71574,15.965329,Unknown
Kepler-134 b,0,0.013495335,4.66,2,1077.1448,5.317429,Super-Earth
Kepler-409 b,0,1.404008727,6,1.199,387.72957,68.958322,Terrestrial
Kepler-48 b,0,0.086476969,3.94,1.88,928.92964,4.778,Super-Earth
K2-3 b,0,0.835602929,5.11,2.078,458.54049,10.054654,Super-Earth
K2-326 b,0,-0.08732133,5.82,2.28,1031.0201,1.256,Super-Earth
OGLE-2018-BLG-0932L b,0,-4.31E-16,282.86728,13.9,0,0,Gas Giant
Kepler-43 b,0,-1.478259583,1026.5909,13.664,1432.8903,3.0240949,Gas Giant
Kepler-77 b,0,-1.34809429,136.661,10.761,1169.3518,3.5787809,Gas Giant
Kepler-785 b,0,-1.439095946,112.0641,13.02,1087.3759,1.9737609,Gas Giant
K2-413 b,0,0.237402967,0.363,0.76,1457.9975,0.8094,Terrestrial
K2-321 b,0,0.305649607,4.46,1.95,611.23439,2.298,Super-Earth
K2-348 b,0,-0.384525248,10.7,3.26,897.75216,4.688418,Neptunian
HD 44219 b,0,0.964776896,184.34048,14.1,260.69398,472,Gas Giant
TIC 279401253 b,0,-0.671739316,1951.4664,11.209,437.59157,76.8,Gas Giant
Kepler-338 b,0,-0.147884606,30.6,2.44,1043.43,13.726976,Neptunian
TOI-3714 b,0,-1.241670826,222.47988,11.321,689.67327,2.154849,Gas Giant
TOI-5678 b,0,-0.131274029,20,4.91,472.84111,47.73022,Neptunian
TOI-1470 c,0,1.787023136,7.24,2.47,338.76743,18.08816,Super-Earth
TIC 279401253 c,0,0.122095019,2548.9838,12.6,348.95858,155.3,Gas Giant
TOI-1052 c,0,-0.860985279,34.3,6.48,665.59412,35.806,Neptunian
TOI-1062 b,0,-0.068781058,10.15,2.265,952.22698,4.11296,Neptunian
TOI-4308 b,0,-0.017343525,6.43,2.419,716.93282,9.151201,Super-Earth
TOI-4145 A b,0,-1.437006866,136.66622,13.305,983.31141,4.0664428,Gas Giant
HD 95338 b,0,0.48969229,42.44,3.89,415.32168,55.087,Neptunian
Kepler-1471 c,0,0.184684615,4.19,1.88,725.29587,11.604488,Super-Earth
Kepler-1487 c,0,-1.028006342,48.7,7.97,690.02937,35.800711,Neptunian
Kepler-1814 c,0,0.079681945,3.75,1.76,1650.7218,0.62628177,Super-Earth
TOI-1468 b,0,0.524645929,3.21,1.28,627.70598,1.8805136,Terrestrial
HD 142415 b,0,1.014001073,530.7761,13.5,251.85562,386.29999,Gas Giant
HD 166724 b,0,-1.336717877,1207.7479,13,78.414115,5144,Gas Giant
HD 145377 b,0,-0.587186808,1913.3366,12.8,421.75998,103.95,Gas Giant
WASP-176 b,0,-1.569421183,271.74465,16.87,1570.9878,3.899052,Gas Giant
TOI-4377 b,0,-1.526507913,304.16179,15.11,1699.0472,4.378081,Gas Giant
HD 115404 A b,0,-0.775401436,30.82936,6.09,634.41874,10.49488,Neptunian
HD 81817 c,0,-1.408642264,7185.7824,12,1223.609,622.97802,Gas Giant
HD 133131 A c,0,-1.087053528,133.4886,14.3,117.14996,3568,Gas Giant
HD 177830 b,0,0.068558698,537.1327,13.5,353.69191,410.10001,Gas Giant
V1298 Tau c,0,-0.865321813,76.27882,5.59,866.13324,8.24958,Gas Giant
HD 10647 b,0,0.336937182,298.75,13.8,195.25302,989.2,Gas Giant
HD 240210 b,0,-1.159069071,1655.82,12.8,576.44291,501.75,Gas Giant
HD 1397 b,0,-1.38110332,131.89945,11.5,1120.1002,11.53533,Gas Giant
HD 114613 b,0,-0.39682135,113.46531,13.1,154.27104,4000,Gas Giant
K2-28 b,0,0.249241345,5.99,2.32,570.02358,2.260455,Super-Earth
HD 190360 c,0,-0.628206437,19.069,4.59,730.15146,17.111,Neptunian
HD 66428 c,0,-1.36359756,560.64931,13.5,87.53354,10478.844,Gas Giant
MOA-2022-BLG-249L b,0,-4.31E-16,4.83,2.04,0,0,Super-Earth
HD 13167 b,0,0.921462743,1052.0173,13.1,213.92151,2613,Gas Giant
HD 134987 c,0,-1.079724427,260,13.9,122.38927,5000,Gas Giant
GJ 514 b,2,2.042877782,5.2,2.13,176.14532,140.43,Super-Earth
HD 136418 b,0,-0.044216117,680.1562,13.3,360.85225,464.29999,Gas Giant
HD 13808 c,0,0.988292326,9.96,3.13,391.80898,53.753,Unknown
GJ 676 A b,0,-1.202555113,1840.8621,12.8,105.4046,1051.4452,Gas Giant
GJ 676 A c,0,-1.428196326,4288.1409,12.3,44.561889,13921.423,Gas Giant
HD 11343 c,0,-1.171383582,255.53404,13.9,562.29945,228.53731,Gas Giant
HD 18143 b,0,-0.302626266,10.80617,3.28,711.9965,10.2851,Neptunian
HD 18143 c,0,-1.431255054,3177.6484,12.5,50.486678,28982.418,Gas Giant
Kepler-1513 c,0,0.157543976,84.54236,11,180.77854,841.4,Gas Giant
HD 176986 b,0,0.00289327,5.74,2.26,769.92598,6.4898,Super-Earth
HD 181433 d,0,-1.197403251,171,14.2,107.92131,2172,Gas Giant
HD 141399 c,0,0.178341412,422.7139,13.6,344.49072,201.99,Gas Giant
HD 204313 b,0,-0.583930776,1466.7781,12.9,151.10291,2041.1154,Gas Giant
HD 217786 b,0,0.3518284,4402.5591,12.3,189.74731,1301.3601,Gas Giant
HD 11506 c,0,0.013158547,117.27868,13.4,355.89649,223.95986,Gas Giant
HD 159868 b,0,0.921924351,704.94694,13.3,230.32447,1184.1,Gas Giant
HD 39855 b,0,-0.28910356,8.5,2.85,1047.5457,3.2498,Unknown
HD 16141 b,0,-0.950875598,82.6358,10.9,522.06312,75.523,Gas Giant
HD 103949 b,0,2.650600006,11.2,3.35,276.45727,120.878,Neptunian
HD 147873 b,0,-1.106671196,1633.6462,12.8,549.9686,116.596,Gas Giant
HD 148427 b,0,-0.329124087,413.179,13.6,390.73597,331.5,Gas Giant
HD 152079 b,0,-0.833932721,845.74563,13.2,129.88272,2918.92,Gas Giant
HD 154672 b,0,-0.395103001,1706.7471,12.8,371.50478,163.94,Gas Giant
HD 154857 b,0,0.26712645,778.6835,13.3,323.93198,408.60001,Gas Giant
TOI-1634 c,0,-4.31E-16,0,0,178.93574,103,Unknown
HD 215497 b,0,-0.105323643,6.3566,2.4,898.28688,3.93404,Super-Earth
Kepler-314 c,0,-0.271505377,8.75,2.9,884.11696,5.960392,Unknown
Kepler-444 b,0,-0.15235862,0.0374,0.403,974.23974,3.6001053,Terrestrial
Kepler-444 c,0,0.038688957,0.0793,0.497,897.25776,4.5458841,Terrestrial
Kepler-507 b,0,0.243308097,5.69692,1.3,1405.766,3.5680969,Terrestrial
Kepler-62 f,1,3.27486663,35,1.41,203.48738,267.291,Neptunian
Kepler-32 b,0,0.38177426,1303,2.2,541.52026,5.90124,Gas Giant
Kepler-32 c,0,1.382171178,158.9,2,403.62537,8.7522,Gas Giant
HIP 67537 b,0,0.664907181,4309.1175,12.3,287.79218,2523.6471,Gas Giant
HD 10697 b,0,0.987526087,1825.2885,12.8,233.92274,1075.3799,Gas Giant
HIP 56640 b,0,0.810016207,2151.6983,12.7,218.3809,2675.576,Gas Giant
HD 108147 b,0,-1.33719032,82.95,10.9,931.68937,10.8985,Gas Giant
HD 153950 b,0,0.948975045,937.5985,13.2,272.74405,499.39999,Gas Giant
HD 108874 b,0,1.026321875,451.3186,13.6,249.3861,394.48123,Gas Giant
Kepler-19 b,0,-0.002574486,6.1,2.209,789.55265,9.28699,Super-Earth
YSES 2 b,0,-1.451797227,2002.319,12.7,21.35506,0,Gas Giant
HD 163607 c,0,0.631974735,699.54383,13.3,209.76197,1272,Gas Giant
HD 109271 b,0,-0.673527881,17.162,4.31,1073.5214,7.8543,Neptunian
HD 13908 b,0,-1.445490941,274.91,13.9,917.97,19.382,Gas Giant
HD 101930 b,0,-0.151509116,79.4575,10.6,388.78508,70.46,Gas Giant
HD 113538 c,0,-1.36571732,295.57,13.8,89.08556,1818,Gas Giant
HD 1605 b,0,0.313706965,296.85322,13.8,332.25363,577.2,Gas Giant
HD 215152 b,0,0.377349179,1.819,1.19,785.22706,5.75999,Terrestrial
HD 116029 b,0,-0.039234979,444.962,13.6,363.58649,670,Gas Giant
HD 188015 b,0,0.990937697,476.72,13.6,239.99648,461.2,Gas Giant
GJ 393 b,0,1.333871693,1.71,1.17,443.68262,7.02679,Terrestrial
HD 74156 c,0,-0.166262077,2753.9832,12.5,165.7793,2448.4873,Gas Giant
HD 18015 b,0,0.901202957,1048.8337,13.1,226.54067,2278,Gas Giant
HD 192310 b,0,1.096887971,16.9,4.27,354.25331,74.72,Neptunian
Kepler-1530 b,0,0.148994563,3.33,1.64,1105.7648,2.5904434,Super-Earth
Kepler-1685 b,0,0.140694478,7.16,2.577,574.09859,20.4905,Unknown
Kepler-1694 b,0,0.330035746,1.76,1.18,897.38032,3.89526,Terrestrial
HD 110537 b,0,-1.377404392,8612.832,11.9,65.954386,24469.673,Gas Giant
HD 4113 b,0,0.826668571,541.26178,13.5,220.74713,526.5239,Gas Giant
HD 73267 c,0,-1.421391624,1630.7776,12.8,64.630523,17071.78,Gas Giant
HD 141004 b,0,-0.516575506,13.63484,3.77,882.14451,15.5083,Neptunian
HD 171238 b,0,-0.555811153,2796.89,12.5,150.35737,1532,Gas Giant
HD 11964 c,0,-0.737737647,25,5.38,689.33161,37.91,Neptunian
HD 164604 b,0,-0.432323901,635,13.4,156.16046,641.472,Gas Giant
HD 21693 c,0,0.168990263,17.37,4.34,444.27541,53.7357,Neptunian
HD 143105 b,0,-1.484441095,384.5743,13.7,1801.5525,2.1974,Gas Giant
HD 1461 c,0,-0.010122079,5.59,2.23,801.18532,13.5052,Super-Earth
HD 147018 c,0,-0.207236501,2080,12.7,168.5546,1008,Gas Giant
HD 148156 b,0,0.320145084,270.144,13.9,184.53326,1027,Gas Giant
HD 1666 b,0,-0.557647952,2040,12.7,388.92448,270,Gas Giant
GJ 414 A c,0,-0.734261414,53.83,8.4,126.39665,749.83,Gas Giant
HD 27894 d,0,-1.334046214,2063.6599,12.7,86.275504,5019.5424,Gas Giant
HD 219828 c,0,-0.462556993,5102.4173,12.2,129.51292,4789.873,Gas Giant
Kepler-45 b,0,-1.22760588,160.497,10.76,705.03323,2.455239,Gas Giant
TOI-3688 A b,0,-1.457296464,311.47184,13.081,1404.0006,3.246075,Gas Giant
TOI-2260 b,0,0.128002868,3.26,1.62,2306.5551,0.3524728,Super-Earth
Kepler-548 b,0,-1.391365295,97.431511,11.99,1019.8754,4.4541943,Gas Giant
HAT-P-60 b,0,-1.600220438,182.43351,18.282,1613.4229,4.7947813,Gas Giant
TOI-5398 c,0,-0.494311302,11.8,3.52,1139.9281,4.77271,Neptunian
TOI-2158 b,0,-1.339336194,260.61929,10.761,1062.1501,8.60077,Gas Giant
Kepler-16 b,0,0.336415378,105.833,8.449,180.43279,228.776,Gas Giant
K2-148 c,0,0.468655933,3.64,1.73,578.50798,6.9226,Super-Earth
TOI-5205 b,0,-1.240331465,343,11.6,674.00375,1.630757,Gas Giant
L 168-9 b,0,0.273874016,4.6,1.39,894.7699,1.4015,Terrestrial
HD 207832 c,0,-0.33125247,232.0159,14,163.58157,1155.7,Gas Giant
HD 133131 B b,0,-1.214230457,794.575,13.3,99.564032,5769,Gas Giant
14 Her b,0,-0.730660517,2559.4722,12.6,138.79412,1765.0389,Gas Giant
HD 132563 b,0,0.352393778,473.547,13.6,194.5889,1544,Gas Giant
2MASS J22362452+4751425 b,0,-1.436557849,3972.875,12.3,9.3322377,0,Gas Giant
HD 208897 b,0,-0.816405997,379.48712,13.7,462.72421,358.27,Gas Giant
TOI-5803 b,0,-0.363863661,10.7,3.273,826.03586,5.38305,Neptunian
TOI-715 b,1,4.269433372,3.02,1.55,234.05109,19.288004,Super-Earth
TOI-4087 b,0,-1.454004889,232.01474,13.047,1333.5046,3.1774835,Gas Giant
b Cen AB b,0,-4.31E-16,3464.3296,12.4,0,1790000,Gas Giant
CoRoT-28 b,0,-1.351675342,153.82972,10.705,1296.8241,5.20851,Gas Giant
HD 24040 c,0,1.327826674,63.88351,9.35,261.69688,515.4,Gas Giant
K2-264 b,0,0.524148825,5.61,2.231,476.51107,5.840002,Super-Earth
K2-315 b,0,1.556056549,0.809,0.95,422.67955,3.1443189,Terrestrial
DMPP-1 e,0,0.056404736,4.13,1.86,1199.9856,5.516,Super-Earth
GJ 160.2 b,0,-0.253818958,10.2,3.17,699.62282,5.2354,Neptunian
HATS-18 b,0,-1.52200144,629.14449,14.897,1892.6555,0.83784,Gas Giant
TOI-544 c,0,1.410344939,21.5,4.92,315.75382,50.089,Neptunian
TOI-1416 b,0,0.137529557,3.48,1.62,1418.1524,1.0697568,Super-Earth
TOI-3912 b,0,-1.49686124,129.03833,14.28,1385.3491,3.4936264,Gas Giant
HD 22532 b,0,-0.248586239,673.79622,13.4,384.76758,872.6,Gas Giant
Kepler-1669 c,0,0.053822048,4.27,1.901,1062.6305,1.6093201,Super-Earth
Kepler-1859 b,0,0.15159364,3.13,1.583,1402.3344,2.7295999,Super-Earth
TOI-199 c,0,1.069508567,88.99195,11.4,233.29862,273.69,Gas Giant
TOI-4010 c,0,-0.895149067,20.31,5.93,840.1586,5.414654,Neptunian
TOI-4329 b,0,-1.571012211,143.02278,16.813,1877.0429,2.9223,Gas Giant
Kepler-493 b,0,-1.525428894,37500,15.13,1564.4708,3.0038766,Gas Giant
Kepler-506 b,0,-0.255107467,7.9,2.73,1097.9159,6.8834055,Unknown
HATS-62 b,0,-1.3961947,56.89157,11.825,1123.7684,3.2768837,Gas Giant
HD 134060 b,0,-0.406221433,10.1,3.16,1306.4291,3.2696,Neptunian
GJ 682 c,0,0.258417498,8.7,2.89,128.32794,57.32,Unknown
Kepler-1658 b,0,-1.42245409,1868.8404,11.994,2186.2161,3.8493728,Gas Giant
Kepler-74 b,0,-1.343111808,200.22,10.76,1103.5047,7.340711,Gas Giant
K2-395 c,0,-0.327663301,11.4,3.395,709.82271,8.491282,Neptunian
Kepler-1468 b,0,0.10594605,3.64,1.73,1209.8699,8.2398487,Super-Earth
HD 34445 c,0,0.359481861,53.5,8.42,357.86733,214.67,Gas Giant
HD 38283 b,0,0.377252088,127.132,14,316.05757,363.20001,Gas Giant
HD 40956 b,0,-1.146355712,858.141,13.2,559.04617,578.6,Gas Giant
HD 40979 b,0,0.398941127,1484.2661,12.9,325.39795,264.14999,Gas Giant
HU Aqr AB c,0,-4.31E-16,1430.235,12.9,0,4368,Gas Giant
K2-101 b,0,0.469706687,4.66,2,539.13111,14.676243,Super-Earth
K2-104 b,0,0.226816204,3.86,1.79,716.92164,1.9741954,Super-Earth
K2-130 b,0,0.313207764,2.1,1.25,897.39609,2.49412,Terrestrial
K2-183 b,0,0.273895143,1.37,1.1,2186.9795,0.469285,Terrestrial
16 Cyg B b,0,0.862193958,565.7374,13.5,202.19319,798.5,Gas Giant
HN Peg b,0,-1.414713714,6991.57,11.777,9.4844022,0,Gas Giant
HATS-59 b,0,-1.418113479,256.17098,12.621,1026.9619,5.416081,Gas Giant
KMT-2018-BLG-0247L b,0,-4.31E-16,670.61794,13.4,0,0,Gas Giant
Kepler-46 c,0,-0.516154288,119.499,13.5,415.75978,57.011,Gas Giant
V1298 Tau e,0,-0.616804734,368.68095,8.74,443.7196,60,Gas Giant
Kepler-14 b,0,-1.445590145,2669.66,12.733,1453.0791,6.790123,Gas Giant
TOI-1420 b,0,-1.361027842,25.1,11.89,874.33928,6.9561063,Neptunian
TOI-500 b,0,0.269732674,1.42,1.166,1560.9929,0.548177,Terrestrial
TOI-500 c,0,0.144336931,5.03,2.09,680.82996,6.6356,Super-Earth
K2-36 c,0,-0.321219822,7.9,3.2,780.01012,5.340888,Unknown
TOI-913 b,0,0.088142811,6.59,2.453,621.63573,11.098644,Super-Earth
TOI-1221 b,0,0.920121494,1112.3994,2.91,404.3737,91.68278,Gas Giant
TOI-1052 b,0,-0.29631351,16.9,2.87,1051.0426,9.139703,Neptunian
GJ 667 C c,2,4.202177911,3.8,1.77,246.53799,28.14,Super-Earth
GJ 667 C g,0,0.437795868,4.6,1.99,117.59518,256.2,Super-Earth
TOI-2567 b,0,-1.360512275,63.88351,10.929,1240.6951,5.983944,Gas Giant
TOI-1386 c,0,0.785471538,98.20898,12,297.8579,227.6,Gas Giant
GJ 3473 b,0,0.421497069,1.86,1.264,707.19269,1.1980035,Terrestrial
HD 62364 b,0,-0.761722064,5965.6392,12.1,128.44814,5138,Gas Giant
HIP 19976 b,0,0.991571504,21.61233,4.94,344.08761,50.65905,Neptunian
HIP 29442 b,0,-0.353188119,9.6,3.48,712.2916,13.63083,Unknown
GJ 3473 c,0,2.732317856,7.41,2.63,301.19493,15.509,Unknown
TOI-3785 b,0,-0.426674313,14.95,5.14,537.38555,4.6747373,Neptunian
TOI-1181 b,0,-1.513133818,375.03752,14.572,2032.9525,2.103195,Gas Giant
HR 8799 b,0,-1.454518095,2000,13,46.009261,170000,Gas Giant
HR 8799 e,0,-1.302854581,3178.3,13.115,95.7885,20815.6,Gas Giant
K2-241 b,0,0.415965155,7.04,2.55,497.81183,26.8199,Unknown
Kepler-1112 b,0,-0.333271178,9.38,3.02,988.69891,14.362679,Unknown
K2-11 b,0,-0.359230108,44.4,7.55,448.57383,39.93767,Neptunian
Kepler-1767 b,0,1.543166174,9.34,3.013,355.7803,59.658298,Unknown
Kepler-1140 b,0,0.431667274,8.1,2.77,478.36841,24.086271,Unknown
K2-223 c,0,0.204401005,2.86,1.5,1065.5247,4.562546,Terrestrial
TOI-1899 b,0,0.163610044,209.7678,12.89,347.68175,29.02,Gas Giant
Kepler-1002 b,0,0.103384876,3.57,1.71,1431.2324,4.3364293,Super-Earth
Kepler-1003 b,0,0.076890628,3.82,1.78,1422.0283,3.5548569,Super-Earth
Kepler-1005 b,0,0.204458017,2.86,1.5,1065.0908,6.4980152,Terrestrial
Kepler-1008 b,0,0.544630211,2.18,1.28,616.96347,12.439312,Terrestrial
GJ 849 b,0,-1.454904997,283.82077,13.9,66.962689,1925.31,Gas Giant
HD 140901 c,0,-1.404433579,572.09113,13.4,66.833081,14386,Gas Giant
HD 174205 b,0,-1.372310714,1334.8793,13,760.03438,582,Gas Giant
Kepler-1756 b,0,0.210375419,2.77,1.472,1095.1015,2.3557501,Terrestrial
K2-230 b,0,0.004880599,4.5,1.96,1511.7781,2.86041,Super-Earth
Kepler-1092 b,0,0.644613839,4.94,2.07,491.84562,58.601793,Super-Earth
Kepler-1094 b,0,0.342056266,10.2,3.18,468.75477,78.100023,Neptunian
K2-288 B b,2,3.024559665,4.27,1.9,207.0989,31.393463,Super-Earth
Kepler-49 b,0,0.167916984,8,2.72,545.58068,7.2037945,Unknown
Kepler-49 c,0,0.535595578,5.9,2.55,475.0273,10.912934,Unknown
HD 28109 d,0,0.088634867,5.681,3.25,516.38756,84.25999,Unknown
K2-156 b,0,0.288625036,1.37,1.1,1288.2691,0.813143,Terrestrial
K2-158 b,0,-0.140451036,7.46,2.64,778.73178,10.06049,Unknown
K2-239 d,0,2.75815282,1.37,1.1,346.1421,10.115,Terrestrial
Kepler-1748 b,0,-0.194606718,7.81,2.713,839.77347,5.8235202,Unknown
Kepler-1754 b,0,0.025003294,6.53,2.44,668.40161,8.1959495,Super-Earth
K2-37 b,0,0.211668589,3.22,1.61,860.27888,4.44117,Super-Earth
TOI-237 b,0,2.54819051,2.67,1.44,349.11822,5.436098,Terrestrial
HD 110067 d,0,0.078285549,8.52,2.852,560.41681,20.519617,Unknown
HD 135625 b,0,-0.900352581,731.00534,13.3,133.41454,4055,Gas Giant
HD 169830 b,0,-0.61336089,804.4237,13.2,424.0009,225.67372,Gas Giant
HD 110067 e,0,0.713844668,3.9,1.94,489.53145,30.793091,Super-Earth
GJ 667 C b,0,1.420342246,5.68,2.25,387.17155,7.203,Super-Earth
TOI-2842 b,0,-1.446997198,117.59651,12.845,1346.6443,3.5514058,Gas Giant
TOI-3807 b,0,-1.602478098,330.54154,18.495,1502.9989,2.8989727,Gas Giant
HATS-63 b,0,-1.469038116,305.1168,13.529,1276.9041,3.0566527,Gas Giant
K2-16 c,0,0.576201057,6.99,2.54,468.89302,19.07863,Unknown
K2-172 c,0,0.054428825,10.4,3.206,530.31764,29.62682,Neptunian
K2-176 b,0,0.253911016,2.83,1.491,862.17701,5.329439,Terrestrial
K2-37 d,0,0.058492962,7.9,2.73,585.54726,14.09189,Unknown
K2-187 c,0,0.229273762,2.54,1.4,1140.136,2.871512,Terrestrial
K2-189 b,0,0.186638156,2.92,1.52,1168.4123,2.588309,Super-Earth
K2-270 b,0,0.232396974,2.48,1.38,1175.5774,1.543069,Terrestrial
K2-270 c,0,-0.275291523,9.01,2.95,848.05011,4.400028,Unknown
K2-272 b,0,-0.21567158,9.96,3.13,674.66002,14.453676,Unknown
K2-44 b,0,-0.167643638,6.5,2.433,1332.0609,5.657,Super-Earth
K2-46 b,0,0.03778081,4.86,2.05,869.12046,19.1541,Super-Earth
Kepler-1096 b,0,0.333313448,2.07,1.24,851.84436,2.8922175,Terrestrial
K2-58 b,0,-0.149181582,7.65,2.68,770.09918,7.05254,Unknown
K2-58 d,0,0.686362425,3.57,1.71,515.94917,22.8827,Super-Earth
K2-62 b,0,0.144815238,5.22,2.14,664.69307,6.67202,Super-Earth
Kepler-1120 b,0,0.265422626,2.48,1.38,945.33672,2.9490291,Terrestrial
KOI-1783.02,0,1.416504758,15,5.44,313.21624,284.215,Neptunian
K2-62 c,0,0.68105514,5.22,2.14,479.59955,16.1966,Super-Earth
K2-63 b,0,-0.283083008,10.5,3.22,716.40059,20.257,Neptunian
HD 62364 c,0,-1.398172802,7923.4622,12,51.34292,74839.946,Gas Giant
HIP 41378 d,0,2.03256497,14.9,3.96,214.9573,1114,Neptunian
HD 140901 b,0,-0.575396431,15.57359,4.07,811.79156,9.02378,Neptunian
TOI-544 b,0,0.015735488,2.89,2.018,1011.5991,1.548352,Super-Earth
K2-216 b,0,0.12101607,8,1.75,1005.2422,2.1748,Super-Earth
Kepler-37 b,0,-0.2318489,0.79,0.31,662.59974,13.36702,Terrestrial
Kepler-139 d,0,0.156587517,4.65808,1.695,935.34936,7.3056999,Super-Earth
Kepler-411 d,0,1.560657946,15.2,3.319,345.22397,58.02035,Neptunian
TOI-519 b,0,-1.265455197,147.15455,11.545,691.2025,1.2652328,Gas Giant
HD 111998 b,0,1.059240805,1525.5764,12.9,247.24199,810,Gas Giant
KMT-2019-BLG-0335L b,0,-4.31E-16,6674.3966,12.1,0,0,Gas Giant
K2-36 b,0,0.2136772,4.3,1.43,1212.3734,1.422614,Terrestrial
Kepler-78 b,0,0.25803931,1.68,1.201,2014.8249,0.35500745,Terrestrial
Wolf 503 b,0,0.10889846,6.27,2.043,714.40855,6.00127,Super-Earth
K2-414 b,0,0.381281194,1.98,1.219,769.28139,4.3696,Terrestrial
K2-70 b,0,-0.020368015,8.7,2.89,596.75672,13.97896,Unknown
